schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,EUR,EURUSD,1,5,-0.025929592386,NONE,NONE,2025.05.12 09:00:00,1.1217200000,2025.04.21 09:00:00,1.1515800000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,GBP,GBPUSD,1,2,-0.007241394772,LONG,BUY,2025.05.12 09:00:00,1.3284500000,2025.04.21 09:00:00,1.3381400000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,AUD,AUDUSD,1,1,0.001246028285,LONG,BUY,2025.05.12 09:00:00,0.6428400000,2025.04.21 09:00:00,0.6420400000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,NZD,NZDUSD,1,4,-0.013283554726,NONE,NONE,2025.05.12 09:00:00,0.5920200000,2025.04.21 09:00:00,0.5999900000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,CAD,USDCAD,-1,3,-0.009519707086,NONE,NONE,2025.05.12 09:00:00,1.3929000000,2025.04.21 09:00:00,1.3796400000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,CHF,USDCHF,-1,6,-0.030496496377,SHORT,BUY,2025.05.12 09:00:00,0.8348500000,2025.04.21 09:00:00,0.8093900000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.12 10:05:00,JPY,USDJPY,-1,7,-0.036697122130,SHORT,BUY,2025.05.12 09:00:00,146.1150000000,2025.04.21 09:00:00,140.7530000000,2025.05.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,EUR,EURUSD,1,7,-0.010819492737,SHORT,SELL,2025.05.19 09:00:00,1.1208800000,2025.04.28 09:00:00,1.1331400000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,GBP,GBPUSD,1,2,0.001850222252,LONG,BUY,2025.05.19 09:00:00,1.3320300000,2025.04.28 09:00:00,1.3295700000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,AUD,AUDUSD,1,1,0.004323579172,LONG,BUY,2025.05.19 09:00:00,0.6411200000,2025.04.28 09:00:00,0.6383600000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,NZD,NZDUSD,1,6,-0.008344268362,SHORT,SELL,2025.05.19 09:00:00,0.5894600000,2025.04.28 09:00:00,0.5944200000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,CAD,USDCAD,-1,4,-0.005786763495,NONE,NONE,2025.05.19 09:00:00,1.3962900000,2025.04.28 09:00:00,1.3882100000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,CHF,USDCHF,-1,3,-0.004232055724,NONE,NONE,2025.05.19 09:00:00,0.8341100000,2025.04.28 09:00:00,0.8305800000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.19 10:05:00,JPY,USDJPY,-1,5,-0.008014511646,NONE,NONE,2025.05.19 09:00:00,144.9870000000,2025.04.28 09:00:00,143.8250000000,2025.05.26 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,EUR,EURUSD,1,6,0.007319829763,SHORT,SELL,2025.05.26 09:00:00,1.1408300000,2025.05.05 09:00:00,1.1325400000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,GBP,GBPUSD,1,1,0.022010542169,LONG,BUY,2025.05.26 09:00:00,1.3572300000,2025.05.05 09:00:00,1.3280000000,2025.06.02 10:05:00
