schema,time,dataset,execution_layer,canonical_symbol,research_symbol,event_type,reason_code,details
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=31
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=32
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=33
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=34
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=35
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.04.06 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=36
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.05.04 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
