sequence,event,timestamp,segment,direction,setup_timestamp,frozen_boundary,retest_candle_number,confirmation_timestamp,entry_timestamp,stop_level,exit_type,cancellation_reason,bid,ask,spread_points,confirmation_atr,effective_spread_limit_points
137,SETUP,2025.07.07 11:00:00.000,2025_S3,SELL,2025.07.07 11:00:00.000,1.1744700000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
138,CANCEL,2025.07.07 13:00:00.007,2025_S3,SELL,2025.07.07 11:00:00.000,1.1744700000,1,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
139,SETUP,2025.07.07 19:00:00.000,2025_S3,SELL,2025.07.07 19:00:00.000,1.1717400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
140,CONFIRMATION,2025.07.08 00:00:00.277,2025_S3,SELL,2025.07.07 19:00:00.000,1.1717400000,4,2025.07.07 23:00:00.000,,0.0000000000,,,1.1701900000,1.1714900000,130.00000000,0.001565626477,30.000000000000
141,ENTRY_BLOCK,2025.07.08 00:00:00.277,2025_S3,SELL,2025.07.07 19:00:00.000,1.1717400000,4,2025.07.07 23:00:00.000,,0.0000000000,,SPREAD,1.1701900000,1.1714900000,130.00000000,0.001565626477,30.000000000000
142,SETUP,2025.07.08 10:00:00.000,2025_S3,BUY,2025.07.08 10:00:00.000,1.1749300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
143,CANCEL,2025.07.08 14:00:00.011,2025_S3,BUY,2025.07.08 10:00:00.000,1.1749300000,3,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
144,SETUP,2025.07.08 17:00:00.000,2025_S3,SELL,2025.07.08 17:00:00.000,1.1693300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
145,CANCEL,2025.07.09 00:02:59.399,2025_S3,SELL,2025.07.08 17:00:00.000,1.1693300000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
146,SETUP,2025.07.10 02:00:00.000,2025_S3,BUY,2025.07.10 02:00:00.000,1.1728000000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
147,CANCEL,2025.07.10 09:00:00.124,2025_S3,BUY,2025.07.10 02:00:00.000,1.1728000000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
148,SETUP,2025.07.10 16:00:00.000,2025_S3,SELL,2025.07.10 16:00:00.000,1.1701100000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
149,CANCEL,2025.07.10 23:00:00.108,2025_S3,SELL,2025.07.10 16:00:00.000,1.1701100000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
150,SETUP,2025.07.14 00:00:00.000,2025_S3,SELL,2025.07.14 00:00:00.000,1.1668000000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
151,CONFIRMATION,2025.07.14 02:00:00.229,2025_S3,SELL,2025.07.14 00:00:00.000,1.1668000000,1,2025.07.14 01:00:00.000,,0.0000000000,,,1.1664000000,1.1665700000,17.00000000,0.001486551977,29.731039539003
152,ENTRY,2025.07.14 02:00:00.229,2025_S3,SELL,2025.07.14 00:00:00.000,1.1668000000,1,2025.07.14 01:00:00.000,2025.07.14 02:00:00.229,1.1693731040,,,1.1664000000,1.1665700000,17.00000000,0.001486551977,29.731039539003
153,EXIT,2025.07.14 03:55:23.256,2025_S3,SELL,,0.0000000000,0,,2025.07.14 02:00:00.000,1.1693731040,INITIAL_STOP,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
154,SETUP,2025.07.15 16:00:00.000,2025_S3,SELL,2025.07.15 16:00:00.000,1.1657200000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
155,CANCEL,2025.07.15 23:00:00.209,2025_S3,SELL,2025.07.15 16:00:00.000,1.1657200000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
156,SETUP,2025.07.16 16:00:00.000,2025_S3,SELL,2025.07.16 16:00:00.000,1.1592300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
157,CONFIRMATION,2025.07.16 18:00:00.116,2025_S3,SELL,2025.07.16 16:00:00.000,1.1592300000,1,2025.07.16 17:00:00.000,,0.0000000000,,,1.1591800000,1.1593000000,12.00000000,0.001635643081,30.000000000000
158,ENTRY,2025.07.16 18:00:00.116,2025_S3,SELL,2025.07.16 16:00:00.000,1.1592300000,1,2025.07.16 17:00:00.000,2025.07.16 18:00:00.116,1.1624512862,,,1.1591800000,1.1593000000,12.00000000,0.001635643081,30.000000000000
159,EXIT,2025.07.16 18:11:39.365,2025_S3,SELL,,0.0000000000,0,,2025.07.16 18:00:00.000,1.1624512862,INITIAL_STOP,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
160,SETUP,2025.07.18 16:00:00.000,2025_S3,BUY,2025.07.18 16:00:00.000,1.1657900000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
161,CANCEL,2025.07.18 18:00:00.067,2025_S3,BUY,2025.07.18 16:00:00.000,1.1657900000,1,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
162,SETUP,2025.07.21 14:00:00.000,2025_S3,BUY,2025.07.21 14:00:00.000,1.1657100000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
163,CANCEL,2025.07.21 21:00:00.289,2025_S3,BUY,2025.07.21 14:00:00.000,1.1657100000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
164,SETUP,2025.07.22 17:00:00.000,2025_S3,BUY,2025.07.22 17:00:00.000,1.1708800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
165,CANCEL,2025.07.23 00:00:00.108,2025_S3,BUY,2025.07.22 17:00:00.000,1.1708800000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
166,SETUP,2025.07.23 21:00:00.000,2025_S3,BUY,2025.07.23 21:00:00.000,1.1764300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
167,CONFIRMATION,2025.07.24 01:00:00.164,2025_S3,BUY,2025.07.23 21:00:00.000,1.1764300000,3,2025.07.24 00:00:00.000,,0.0000000000,,,1.1768700000,1.1771200000,25.00000000,0.001411165989,28.223319771951
168,ENTRY,2025.07.24 01:00:00.164,2025_S3,BUY,2025.07.23 21:00:00.000,1.1764300000,3,2025.07.24 00:00:00.000,2025.07.24 01:00:00.164,1.1742976680,,,1.1768700000,1.1771200000,25.00000000,0.001411165989,28.223319771951
169,EXIT,2025.07.24 10:00:00.393,2025_S3,BUY,,0.0000000000,0,,2025.07.24 01:00:00.000,1.1742976680,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
