schema,time,dataset,execution_layer,canonical_symbol,resolved_symbol,event_type,reason_code,details,dry_run
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=17,NO
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=18,NO
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=19,NO
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=20,NO
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=21,NO
SOLTRADE_V28_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=22,NO
SOLTRADE_V28_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
