condition,source_dataset,source_date_not_normalized_to_utc_plus_3,source_segment_previous_day_balance_proxy_usd,source_segment_realized_cash_flow_proxy_usd,source_segment_end_of_date_balance_proxy_usd,midnight_balance_utc_plus_3_usd,midnight_equity_utc_plus_3_usd,intraday_minimum_equity_usd,official_profitable_day_calculation_usd,authoritative_status,continuity_note
HIGH,V28_2025_DEVELOPMENT,2025-02-04,10184.1100623219,-52.4716792876,10131.6383830343,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-05,10131.6383830343,-51.9665196469,10079.6718633875,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-06,10079.6718633875,-51.9677675554,10027.7040958320,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-07,10027.7040958320,-50.8088215551,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-08,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-09,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-10,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-11,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-12,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-13,9976.8952742769,0.0000000000,9976.8952742769,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-14,9976.8952742769,-149.9467673814,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-15,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-16,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-17,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-18,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-19,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-20,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-21,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-22,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-23,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-24,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-25,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-26,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-27,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-02-28,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-01,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-02,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-03,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-04,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-05,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-06,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
