schema,time,dataset,execution_layer,canonical_symbol,resolved_symbol,event_type,reason_code,details,dry_run
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=45,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=46,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=47,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=48,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=49,NO
SOLTRADE_V28_EVENT_V1,2025.04.07 10:05:01,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=50,NO
SOLTRADE_V28_EVENT_V1,2025.05.05 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
