schema,dataset,target,canonical_symbol,resolved_symbol,orientation,dollar_factor_return,factor_side,direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.02.03 10:05:00,USDJPY,USDJPY,-1,-0.010490224220,SHORT_FOREIGN_FACTOR,BUY,2025.02.03 09:00:00,155.6180000000,2025.01.06 09:00:00,157.6570000000,2025.03.03 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,EURUSD,EURUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,1.0405500000,2025.02.03 09:00:00,1.0224200000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,GBPUSD,GBPUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,1.2600700000,2025.02.03 09:00:00,1.2283400000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,AUDUSD,AUDUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,0.6216900000,2025.02.03 09:00:00,0.6134300000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,NZDUSD,NZDUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,0.5601100000,2025.02.03 09:00:00,0.5551200000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,USDCAD,USDCAD,-1,0.019840716326,LONG_FOREIGN_FACTOR,SELL,2025.03.03 09:00:00,1.4439300000,2025.02.03 09:00:00,1.4716500000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,USDCHF,USDCHF,-1,0.019840716326,LONG_FOREIGN_FACTOR,SELL,2025.03.03 09:00:00,0.9015700000,2025.02.03 09:00:00,0.9186200000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.03.03 10:05:00,USDJPY,USDJPY,-1,0.019840716326,LONG_FOREIGN_FACTOR,SELL,2025.03.03 09:00:00,150.1560000000,2025.02.03 09:00:00,155.6180000000,2025.04.07 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.04.07 10:05:00,EURUSD,EURUSD,1,0.020692112824,LONG_FOREIGN_FACTOR,BUY,2025.04.07 09:00:00,1.1001900000,2025.03.03 09:00:00,1.0405500000,2025.05.05 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.04.07 10:05:00,GBPUSD,GBPUSD,1,0.020692112824,LONG_FOREIGN_FACTOR,BUY,2025.04.07 09:00:00,1.2900300000,2025.03.03 09:00:00,1.2600700000,2025.05.05 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.04.07 10:05:00,AUDUSD,AUDUSD,1,0.020692112824,LONG_FOREIGN_FACTOR,BUY,2025.04.07 09:00:00,0.6011300000,2025.03.03 09:00:00,0.6216900000,2025.05.05 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2025_DEVELOPMENT,2025.04.07 10:05:00,NZDUSD,NZDUSD,1,0.020692112824,LONG_FOREIGN_FACTOR,BUY,2025.04.07 09:00:00,0.5567600000,2025.03.03 09:00:00,0.5601100000,2025.05.05 10:05:00
