deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,canonical_symbol,resolved_symbol,comment,in_research_window
70,70,61,2025.10.06 10:05:00,1759745100332,1,1,3,0.03000000,0.5834900000,-18.78000000,0.00000000,-2.85000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
71,71,63,2025.10.06 10:05:00,1759745100332,1,0,3,0.02000000,0.7976200000,3.99000000,0.00000000,-10.16000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1 exit,YES
72,72,72,2025.11.03 10:05:00,1762164300395,0,1,3,0.02000000,1.1533300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
73,73,73,2025.11.03 10:05:00,1762164300395,0,1,3,0.02000000,1.3132500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
74,74,74,2025.11.03 10:05:00,1762164300395,0,1,3,0.03000000,0.6550100000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
75,75,75,2025.11.03 10:05:00,1762164300395,0,1,3,0.04000000,0.5720500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
76,76,76,2025.11.03 10:05:00,1762164300395,0,0,3,0.04000000,1.4022000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
77,77,77,2025.11.03 10:05:00,1762164300395,0,0,3,0.02000000,0.8052100000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
78,78,78,2025.11.03 10:05:00,1762164300395,0,0,3,0.02000000,154.1750000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
79,79,77,2025.11.14 14:20:32,1763130032487,1,1,4,0.02000000,0.7897600000,-39.13000000,0.00000000,1.94000000,0.00000000,2808202606,USDCHF,USDCHF,sl 0.78976,YES
80,80,72,2025.12.01 10:05:00,1764583500649,1,0,3,0.02000000,1.1606800000,-14.70000000,0.00000000,2.52000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
81,81,73,2025.12.01 10:05:00,1764583500649,1,0,3,0.02000000,1.3216300000,-16.76000000,0.00000000,-0.84000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1 exit,YES
82,82,74,2025.12.01 10:05:00,1764583500649,1,0,3,0.03000000,0.6548000000,0.63000000,0.00000000,-0.52000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
83,83,75,2025.12.01 10:05:00,1764583500649,1,0,3,0.04000000,0.5734900000,-5.76000000,0.00000000,0.56000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
84,84,76,2025.12.01 10:05:00,1764583500649,1,1,3,0.04000000,1.3983600000,-10.98000000,0.00000000,2.80000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1 exit,YES
85,85,78,2025.12.01 10:05:00,1764583500649,1,1,3,0.02000000,155.4100000000,15.89000000,0.00000000,3.39000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1 exit,YES
