schema,dataset,target,canonical_symbol,resolved_symbol,orientation,dollar_factor_return,factor_side,direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.03.02 10:05:00,USDJPY,USDJPY,-1,-0.005995531455,SHORT_FOREIGN_FACTOR,BUY,2026.03.02 09:00:00,156.9750000000,2026.02.02 09:00:00,154.8990000000,2026.04.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,EURUSD,EURUSD,1,-0.022673682367,SHORT_FOREIGN_FACTOR,SELL,2026.04.06 09:00:00,1.1532300000,2026.03.02 09:00:00,1.1715300000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,GBPUSD,GBPUSD,1,-0.022673682367,SHORT_FOREIGN_FACTOR,SELL,2026.04.06 09:00:00,1.3218200000,2026.03.02 09:00:00,1.3361400000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,AUDUSD,AUDUSD,1,-0.022673682367,SHORT_FOREIGN_FACTOR,SELL,2026.04.06 09:00:00,0.6912600000,2026.03.02 09:00:00,0.7057300000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,NZDUSD,NZDUSD,1,-0.022673682367,SHORT_FOREIGN_FACTOR,SELL,2026.04.06 09:00:00,0.5707300000,2026.03.02 09:00:00,0.5943000000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,USDCAD,USDCAD,-1,-0.022673682367,SHORT_FOREIGN_FACTOR,BUY,2026.04.06 09:00:00,1.3934800000,2026.03.02 09:00:00,1.3657100000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,USDCHF,USDCHF,-1,-0.022673682367,SHORT_FOREIGN_FACTOR,BUY,2026.04.06 09:00:00,0.7995900000,2026.03.02 09:00:00,0.7726500000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,USDJPY,USDJPY,-1,-0.022673682367,SHORT_FOREIGN_FACTOR,BUY,2026.04.06 09:00:00,159.6040000000,2026.03.02 09:00:00,156.9750000000,2026.05.04 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,EURUSD,EURUSD,1,0.026213680466,LONG_FOREIGN_FACTOR,BUY,2026.05.04 09:00:00,1.1727800000,2026.04.06 09:00:00,1.1532300000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,GBPUSD,GBPUSD,1,0.026213680466,LONG_FOREIGN_FACTOR,BUY,2026.05.04 09:00:00,1.3579700000,2026.04.06 09:00:00,1.3218200000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,AUDUSD,AUDUSD,1,0.026213680466,LONG_FOREIGN_FACTOR,BUY,2026.05.04 09:00:00,0.7197500000,2026.04.06 09:00:00,0.6912600000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,NZDUSD,NZDUSD,1,0.026213680466,LONG_FOREIGN_FACTOR,BUY,2026.05.04 09:00:00,0.5907500000,2026.04.06 09:00:00,0.5707300000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,USDCAD,USDCAD,-1,0.026213680466,LONG_FOREIGN_FACTOR,SELL,2026.05.04 09:00:00,1.3595500000,2026.04.06 09:00:00,1.3934800000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,USDCHF,USDCHF,-1,0.026213680466,LONG_FOREIGN_FACTOR,SELL,2026.05.04 09:00:00,0.7812400000,2026.04.06 09:00:00,0.7995900000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,USDJPY,USDJPY,-1,0.026213680466,LONG_FOREIGN_FACTOR,SELL,2026.05.04 09:00:00,156.9180000000,2026.04.06 09:00:00,159.6040000000,2026.06.01 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,EURUSD,EURUSD,1,-0.005269476914,SHORT_FOREIGN_FACTOR,SELL,2026.06.01 09:00:00,1.1664000000,2026.05.04 09:00:00,1.1727800000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,GBPUSD,GBPUSD,1,-0.005269476914,SHORT_FOREIGN_FACTOR,SELL,2026.06.01 09:00:00,1.3471200000,2026.05.04 09:00:00,1.3579700000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,AUDUSD,AUDUSD,1,-0.005269476914,SHORT_FOREIGN_FACTOR,SELL,2026.06.01 09:00:00,0.7181500000,2026.05.04 09:00:00,0.7197500000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,NZDUSD,NZDUSD,1,-0.005269476914,SHORT_FOREIGN_FACTOR,SELL,2026.06.01 09:00:00,0.5971400000,2026.05.04 09:00:00,0.5907500000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,USDCAD,USDCAD,-1,-0.005269476914,SHORT_FOREIGN_FACTOR,BUY,2026.06.01 09:00:00,1.3803500000,2026.05.04 09:00:00,1.3595500000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,USDCHF,USDCHF,-1,-0.005269476914,SHORT_FOREIGN_FACTOR,BUY,2026.06.01 09:00:00,0.7819800000,2026.05.04 09:00:00,0.7812400000,2026.07.06 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.06.01 10:05:00,USDJPY,USDJPY,-1,-0.005269476914,SHORT_FOREIGN_FACTOR,BUY,2026.06.01 09:00:00,159.4190000000,2026.05.04 09:00:00,156.9180000000,2026.07.06 10:05:00
