population,dimension,group,trades,wins,losses,breakeven,win_rate_percent,adjusted_net_profit,gross_profit,gross_loss,profit_factor,average_win,average_loss,average_win_R,average_loss_R,payoff_ratio_money,payoff_ratio_R,expectancy_R,average_holding_seconds,median_holding_seconds,rapid_stop_count
NORMAL_NATIVE_REFERENCE,entry_hour,17,13,5,8,0,38.46153846153847,-76.11,80.92999999999999,-157.04,0.515346408558329,16.186,-19.63,0.6861761003672067,-0.8403390639383589,0.8245542536933266,0.8165467128843834,-0.2532178468977567,120091.69230769231,64800.0,5
NORMAL_NATIVE_REFERENCE,entry_hour,18,10,3,7,0,30.0,-102.28,26.34,-128.62,0.2047893018193127,8.78,-18.374285714285715,0.3948657026599418,-0.7947711764375119,0.4778417042450629,0.4968294200475295,-0.43788011270827587,109985.5,61200.0,2
NORMAL_NATIVE_REFERENCE,entry_hour,19,6,1,5,0,16.666666666666664,-68.21,7.830000000000001,-76.04,0.10297211993687533,7.830000000000001,-15.208000000000002,0.35590909090909095,-0.6655840918718248,0.5148605996843766,0.534731967388473,-0.49533522807500546,76525.33333333333,68400.0,2
NORMAL_NATIVE_REFERENCE,entry_hour,2,4,2,2,0,50.0,3.6600000000000015,51.88,-48.22,1.075902115304853,25.94,-24.11,1.092423759345757,-1.0174896532039388,1.075902115304853,1.0736460620566124,0.037467053070909084,54218.25,45550.5,2
NORMAL_NATIVE_REFERENCE,entry_hour,20,2,1,1,0,50.0,-8.380000000000003,16.56,-24.94,0.6639935846030472,16.56,-24.94,0.706183368869936,-1.0532094594594594,0.6639935846030472,0.6705061016375335,-0.1735130452947617,159238.5,159238.5,1
NORMAL_NATIVE_REFERENCE,entry_hour,21,2,1,1,0,50.0,0.3000000000000007,24.58,-24.279999999999998,1.012355848434926,24.58,-24.279999999999998,1.090505767524401,-0.979032258064516,1.012355848434926,1.1138609157580375,0.055736754729942495,71299.0,71299.0,1
NORMAL_NATIVE_REFERENCE,entry_hour,22,3,1,2,0,33.33333333333333,2.109999999999996,40.61,-38.5,1.0548051948051949,40.61,-19.25,1.7764654418197725,-0.8095246244719138,2.1096103896103897,2.1944551013239826,0.05247206429198167,69948.66666666667,43200.0,1
NORMAL_NATIVE_REFERENCE,entry_hour,23,4,2,2,0,50.0,6.370000000000001,63.09,-56.72,1.1123060648801129,31.545,-28.36,1.2895151611107423,-1.214454085518442,1.1123060648801129,1.0618064334315753,0.037530537796150176,129954.75,109800.0,1
NORMAL_NATIVE_REFERENCE,entry_hour,3,1,0,1,0,0.0,-8.28,0,-8.28,0.0,,-8.28,,-0.4299065420560747,,,-0.4299065420560747,43200.0,43200.0,0
NORMAL_NATIVE_REFERENCE,entry_hour,4,6,2,4,0,33.33333333333333,-35.95,48.989999999999995,-84.94,0.576760065928891,24.494999999999997,-21.235,1.0781371778069024,-0.8944966712154341,1.153520131857782,1.2053003800919004,-0.23695205487465518,71534.16666666667,79976.0,3
NORMAL_NATIVE_REFERENCE,entry_hour,5,3,1,2,0,33.33333333333333,-9.59,37.81,-47.400000000000006,0.7976793248945148,37.81,-23.700000000000003,1.5913299663299663,-1.0354124582594717,1.5953586497890295,1.5369044032993304,-0.1598316500629923,149857.66666666666,61906.0,2
NORMAL_NATIVE_REFERENCE,entry_hour,6,1,0,1,0,0.0,-25.02,0,-25.02,0.0,,-25.02,,-1.037313432835821,,,-1.037313432835821,34553.0,34553.0,1
NORMAL_NATIVE_REFERENCE,entry_hour,7,1,0,1,0,0.0,-24.54,0,-24.54,0.0,,-24.54,,-1.0148883374689825,,,-1.0148883374689825,11841.0,11841.0,1
NORMAL_NATIVE_REFERENCE,entry_hour,8,1,0,1,0,0.0,-15.120000000000001,0,-15.120000000000001,0.0,,-15.120000000000001,,-0.619672131147541,,,-0.619672131147541,32400.0,32400.0,0
NORMAL_NATIVE_REFERENCE,entry_hour,9,1,0,1,0,0.0,-15.96,0,-15.96,0.0,,-15.96,,-0.7000000000000001,,,-0.7000000000000001,86397.0,86397.0,0
NORMAL_NATIVE_REFERENCE,entry_weekday,FRIDAY,12,1,11,0,8.333333333333332,-228.61,12.969999999999999,-241.58,0.05368821922344564,12.969999999999999,-21.961818181818185,0.5696091348265261,-0.9407024241318728,0.590570411457902,0.6055146879760513,-0.8148431275520062,123609.66666666667,106167.0,6
NORMAL_NATIVE_REFERENCE,entry_weekday,MONDAY,20,5,15,0,25.0,-50.11000000000001,184.72,-234.83,0.7866115913639654,36.944,-15.655333333333335,1.565469550794321,-0.6752889601428476,2.359834774091896,2.3182217438637953,-0.11509933240855541,68156.4,57600.0,7
NORMAL_NATIVE_REFERENCE,entry_weekday,THURSDAY,20,8,12,0,40.0,-99.35000000000001,173.97,-273.32,0.6365066588614079,21.74625,-22.776666666666667,1.023752180734219,-0.9819341398651052,0.9547599882921117,1.0425874192284001,-0.17965961162537558,118842.15,61198.0,7
NORMAL_NATIVE_REFERENCE,entry_weekday,TUESDAY,14,5,9,0,35.714285714285715,-130.27,76.78999999999999,-207.06,0.3708586883029073,15.357999999999999,-23.006666666666668,0.670543958115778,-0.9802166662161207,0.6675456389452332,0.6840772874269154,-0.3906593003832997,45504.142857142855,27236.5,8
NORMAL_NATIVE_REFERENCE,entry_weekday,WEDNESDAY,28,10,18,0,35.714285714285715,-5.510000000000004,386.34999999999997,-391.86,0.9859388557137752,38.635,-21.77,1.6435012928062895,-0.9236588286038514,1.7746899402847955,1.7793380433449761,-0.006815928100229703,65182.71428571428,40699.0,15
NORMAL_NATIVE_REFERENCE,volatility_regime,HIGH,13,4,9,0,30.76923076923077,-55.63,125.22999999999999,-180.86,0.6924140218953886,31.307499999999997,-20.095555555555556,1.3274025652039803,-0.8733345482567973,1.5579315492646244,1.5199244869603712,-0.19618466719194266,51583.307692307695,33446.0,7
NORMAL_NATIVE_REFERENCE,volatility_regime,LOW,5,1,4,0,20.0,-29.0,50.32,-79.32,0.6343923348461927,50.32,-19.83,2.110738255033557,-0.8374961582852363,2.537569339384771,2.520296044527857,-0.24784927562147763,41547.4,32400.0,2
NORMAL_NATIVE_REFERENCE,volatility_regime,NORMAL,60,22,38,0,36.666666666666664,-119.01000000000003,652.16,-771.1700000000001,0.8456760506762451,29.64363636363636,-20.293947368421055,1.3017765785427446,-0.8635863315214184,1.460713178440787,1.5074075758579308,-0.0696199311645587,91817.61666666667,57600.0,24
NORMAL_NATIVE_REFERENCE,volatility_regime,UNAVAILABLE,16,2,14,0,12.5,-310.21,7.090000000000001,-317.3,0.02234478411597857,3.5450000000000004,-22.664285714285715,0.15763690476190476,-0.9772716779659262,0.15641348881185,0.1613030524838365,-0.8354081051249473,81130.25,47417.5,10
NORMAL_NATIVE_REFERENCE,trend_side,ABOVE_EMA200,46,16,30,0,34.78260869565217,-61.12000000000002,551.1,-612.22,0.9001666067753422,34.44375,-20.407333333333334,1.5272339949241562,-0.8720504190829582,1.6878123877037667,1.7513138707394742,-0.03751670986309228,86479.52173913043,60174.0,19
NORMAL_NATIVE_REFERENCE,trend_side,BELOW_EMA200,48,13,35,0,27.083333333333332,-452.73,283.7,-736.4300000000001,0.3852368860584169,21.823076923076922,-21.040857142857146,0.918381779579013,-0.9013304881228642,1.0371762316957378,1.018917912664488,-0.4084917489536058,77237.5625,45000.0,24
NORMAL_NATIVE_REFERENCE,ema_slope_direction,FALLING,41,13,28,0,31.70731707317073,-243.44000000000003,324.43,-567.87,0.5713103351119094,24.956153846153846,-20.28107142857143,1.087001298532646,-0.8705645820065347,1.2305145679333434,1.2486164966960334,-0.24987296134777012,76434.0487804878,54000.0,17
NORMAL_NATIVE_REFERENCE,ema_slope_direction,RISING,50,16,34,0,32.0,-199.67000000000002,510.37,-710.04,0.7187904906765816,31.898125,-20.883529411764705,1.3902306357743295,-0.8905498078933135,1.527429792687736,1.5610925109995386,-0.16070006591966773,85664.36,46800.0,24
NORMAL_NATIVE_REFERENCE,ema_slope_direction,UNAVAILABLE,3,0,3,0,0.0,-70.74000000000001,0,-70.74000000000001,0.0,,-23.580000000000002,,-1.01785929741112,,,-1.01785929741112,89482.33333333333,56637.0,2
NORMAL_NATIVE_REFERENCE,trend_alignment,ALIGNED,62,17,45,0,27.419354838709676,-517.35,402.28999999999996,-919.64,0.4374429124439998,23.66411764705882,-20.436444444444444,1.0610607173048632,-0.8711797225563764,1.1579371211752936,1.2179584646337989,-0.34137186001377856,66723.5,43200.0,29
NORMAL_NATIVE_REFERENCE,trend_alignment,COUNTER_SLOPE,29,12,17,0,41.37931034482759,74.24,432.51,-358.27,1.2072180199291038,36.0425,-21.07470588235294,1.5280562382609162,-0.9089067205599227,1.7102255282328969,1.6812024861248387,0.09949174515904512,113108.86206896552,75600.0,12
NORMAL_NATIVE_REFERENCE,trend_alignment,UNAVAILABLE,3,0,3,0,0.0,-70.74000000000001,0,-70.74000000000001,0.0,,-23.580000000000002,,-1.01785929741112,,,-1.01785929741112,89482.33333333333,56637.0,2
NORMAL_NATIVE_REFERENCE,ema_distance_band,1_TO_2_ATR,12,3,9,0,25.0,8.839999999999998,212.2,-203.36,1.043469708890637,70.73333333333333,-22.595555555555556,3.008868459699714,-0.9629009458633475,3.130409126671912,3.1247954139269534,0.030041405527417835,57343.416666666664,38876.5,7
NORMAL_NATIVE_REFERENCE,ema_distance_band,GE_2_ATR,73,24,49,0,32.87671232876712,-483.07000000000005,510.15999999999997,-993.23,0.5136373246881386,21.256666666666664,-20.27,0.9444376065310768,-0.8663682405826348,1.0486762045716165,1.0901110662781683,-0.2710348113945652,82960.54794520549,54000.0,31
NORMAL_NATIVE_REFERENCE,ema_distance_band,LT_1_ATR,9,2,7,0,22.22222222222222,-39.620000000000005,112.44,-152.06,0.7394449559384453,56.22,-21.722857142857144,2.340799558734341,-0.9414181936385374,2.5880573457845584,2.4864609315518535,-0.21203647088900873,104580.0,56637.0,5
NORMAL_NATIVE_REFERENCE,breakout_distance_band,0.10_TO_0.25_ATR,12,4,8,0,33.33333333333333,-122.66,51.63,-174.29,0.2962304205634288,12.9075,-21.78625,0.5504953573027285,-0.9212629199019161,0.5924608411268576,0.5975442465016805,-0.4306768275003679,65800.83333333333,42901.0,6
NORMAL_NATIVE_REFERENCE,breakout_distance_band,GT_0.25_ATR,73,22,51,0,30.136986301369863,-325.56000000000006,727.22,-1052.78,0.6907616026140314,33.055454545454545,-20.642745098039214,1.4427689762658333,-0.8839358145633242,1.601310987877982,1.632210113557374,-0.18273711047782462,88204.19178082192,57600.0,33
NORMAL_NATIVE_REFERENCE,breakout_distance_band,LT_0.10_ATR,9,3,6,0,33.33333333333333,-65.63000000000001,55.949999999999996,-121.58,0.46019082085869384,18.65,-20.263333333333332,0.8106027154181402,-0.8762082924740217,0.9203816417173877,0.9251255921458578,-0.31393795650996764,50771.666666666664,43200.0,4
