schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.22 09:00:00,2025_S4,EXIT_ATTEMPT,2025.10.22 08:00:00,20,SELL,1.1614700000,0.0000000000,0,0.0000,0.11000000,0,0,21,21,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.22 09:00:00,2025_S4,EXIT_TRANSACTION,NONE,20,SELL,1.1614700000,1.1614700000,0,0.0000,0.11000000,0,0,21,21,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.22 16:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.22 15:00:00,0,SELL,1.1582500000,0.0000000000,12,0.0000,0.13000000,25.35000000,1.1602000000,22,22,10009,NONE,NO,2,2025.10.22 15:00:00,0.000970219987
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.22 17:28:58,2025_S4,EXIT_TRANSACTION,NONE,22,SELL,0.0000000000,1.1602300000,0,0.0000,0.13000000,0,0,23,23,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.23 15:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.23 14:00:00,0,SELL,1.1586600000,0.0000000000,13,0.0000,0.14000000,24.92000000,1.1604400000,24,24,10009,NONE,NO,1,2025.10.23 14:00:00,0.000888195288
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.23 15:49:59,2025_S4,EXIT_TRANSACTION,NONE,24,SELL,0.0000000000,1.1604400000,0,0.0000,0.14000000,0,0,25,25,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.28 07:00:02,2025_S4,ENTRY_ATTEMPT,2025.10.28 06:00:00,0,BUY,1.1660700000,0.0000000000,12,0.0000,0.13000000,24.31000000,1.1642000000,26,26,10009,NONE,NO,3,2025.10.28 06:00:00,0.000930178469
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.28 15:48:15,2025_S4,EXIT_TRANSACTION,NONE,26,BUY,0.0000000000,1.1641900000,0,0.0000,0.13000000,0,0,27,27,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.30 18:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.30 17:00:00,0,SELL,1.1572600000,0.0000000000,12,0.0000,0.07000000,24.57000000,1.1607700000,28,28,10009,NONE,NO,2,2025.10.30 17:00:00,0.001751519803
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.04 09:00:00,2025_S4,EXIT_ATTEMPT,2025.11.04 08:00:00,28,SELL,1.1524100000,0.0000000000,0,0.0000,0.07000000,0,0,29,29,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
