schema,time,dataset,execution_layer,symbol,record_type,signal_time,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:01,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2026.01.19 10:05:00,BUY,0.6693000000,0.0000000000,14,0.0000,0.01000000,12.89000000,0.6564100000,19,19,10009,NO,0.004293571429
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:01,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_ATTEMPT,2026.01.19 10:05:00,BUY,1.3893900000,0.0000000000,17,0.0000,0.02000000,22.22830077,1.3739500000,20,20,10009,NO,0.005146428571
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2026.01.19 10:05:00,BUY,0.7993500000,0.0000000000,16,0.0000,0.01000000,18.34357287,0.7846900000,21,21,10009,NO,0.004886428571
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_TRANSACTION,NONE,BUY,1.3393100000,1.3393100000,0,0.0000,0.01000000,0,0,14,14,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_TRANSACTION,NONE,BUY,0.6691600000,0.6691600000,0,0.0000,0.02000000,0,0,15,15,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_TRANSACTION,NONE,SELL,0.5772200000,0.5772200000,0,0.0000,0.01000000,0,0,16,16,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,EXIT_TRANSACTION,NONE,BUY,1.3892200000,1.3892200000,0,0.0000,0.02000000,0,0,17,17,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,BUY,1.3394500000,1.3394500000,14,0.0000,0.01000000,21.43000000,1.3180200000,18,18,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,BUY,0.6693000000,0.6693000000,14,0.0000,0.01000000,12.89000000,0.6564100000,19,19,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_TRANSACTION,NONE,BUY,1.3893900000,1.3893900000,17,0.0000,0.02000000,22.22830077,1.3739500000,20,20,10009,YES,0.000000000000
