schema,time,dataset,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDJPY;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,EURUSD;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,GBPUSD;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,AUDUSD;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCAD;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.27 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDJPY;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.30 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V27_EVENT_V1,2025.06.30 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=58
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.04 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDJPY;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.04 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDJPY;WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.21 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.21 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCHF;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.21 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.21 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=60
SOLTRADE_PHASE6_V27_EVENT_V1,2025.07.21 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCHF;deal=61
