schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.05 10:05:04,1767607503176,TRADE_TRANSACTION,10376.07000000,10372.88000000,-3.19000000,705.35000000,9667.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.09 23:12:18,1768000335642,TRADE_TRANSACTION,10324.08000000,10260.06000000,-64.02000000,538.68000000,9721.38000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.09 23:12:18,1768000335642,TRADE_TRANSACTION,10324.08000000,10260.06000000,-64.02000000,538.68000000,9721.38000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.01.09 23:12:18,1768000335642,TRADE_TRANSACTION,10324.08000000,10260.06000000,-64.02000000,538.68000000,9721.38000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:01,1770026700814,TRADE_TRANSACTION,10712.29000000,10712.29000000,0.00000000,0.00000000,10712.29000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
