schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.11.01 23:57:59,2019.11.04 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.11.08 23:57:59,2019.11.11 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.11.15 23:57:59,2019.11.18 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.11.22 23:57:30,2019.11.25 00:00:00,172950
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.11.29 23:57:59,2019.12.02 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.06 23:57:59,2019.12.09 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.13 23:57:59,2019.12.16 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.20 23:57:59,2019.12.23 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.24 23:59:59,2019.12.26 00:00:00,86401
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.27 23:57:59,2019.12.30 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.12.31 23:59:59,2020.01.02 00:00:30,86431
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.01.03 23:57:59,2020.01.06 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.01.10 23:57:59,2020.01.13 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.01.17 23:57:59,2020.01.20 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.01.24 23:57:59,2020.01.27 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.01.31 23:57:59,2020.02.03 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.02.07 23:57:59,2020.02.10 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.02.14 23:57:59,2020.02.17 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.02.21 23:57:59,2020.02.24 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.02.28 23:57:59,2020.03.02 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.03.06 23:57:59,2020.03.09 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.03.13 23:57:59,2020.03.16 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.03.20 23:57:59,2020.03.23 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.03.27 23:57:59,2020.03.30 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.04.03 23:57:59,2020.04.06 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.04.10 23:57:30,2020.04.13 00:00:30,172980
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.04.17 23:57:59,2020.04.20 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.04.24 23:57:59,2020.04.27 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.05.01 23:57:59,2020.05.04 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.05.08 23:57:59,2020.05.11 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.05.15 23:57:59,2020.05.18 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.05.22 23:57:59,2020.05.25 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.05.29 23:57:59,2020.06.01 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.06.05 23:57:59,2020.06.08 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.06.12 23:57:59,2020.06.15 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.06.19 23:57:59,2020.06.22 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.06.26 23:57:59,2020.06.29 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.07.03 23:57:59,2020.07.06 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.07.10 23:57:59,2020.07.13 00:00:00,172921
