physical_run,run_id,segment,dataset,cost_profile,execution_layer,position_identifier,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,realized_net_R,exit_reason,naturally_closed,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,8,SHORT,2025-07-10T17:00:00,2025-07-15T09:00:00,1.1692,1.16858,0.09,22.5,6.8100000000000005,0.0,0.54,6.2700000000000005,1.08,1.23,0.0,0.0,0.0,2.85,0.0,0.0,6.2700000000000005,0.2786666666666667,SHORT_EXIT_BREAKOUT,True,403200.0,9924.087677164347,6.913781081757828,9931.001458246104
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,10,SHORT,2025-07-15T17:00:00,2025-07-16T08:00:00,1.16423,1.16203,0.08,23.52,17.96,0.0,0.48,17.48,0.96,0.36,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,17.48,0.7431972789115646,SHORT_EXIT_BREAKOUT,True,54000.0,9931.001458246104,18.451733151588215,9949.453191397693
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,12,SHORT,2025-07-16T17:00:00,2025-07-16T17:56:23,1.15721,1.16011,0.08,22.88,-23.2,0.0,0.48,-23.68,1.04,0.0,0.0,0.0,0.0,1.52,0.0,0.0,-23.68,-1.034965034965035,STOP_LOSS_EXIT,True,3383.0,9949.453191397693,-25.743340425294733,9923.709850972398
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,14,LONG,2025-07-21T18:00:00,2025-07-23T09:00:00,1.16971,1.17299,0.08,22.16,24.68,0.0,0.48,24.2,0.96,1.56,0.0,0.0,0.0,3.0,0.0,0.0,24.2,1.092057761732852,LONG_EXIT_BREAKOUT,True,140400.0,9923.709850972398,27.093160919847925,9950.803011892247
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,16,LONG,2025-07-23T22:00:00,2025-07-24T10:00:00,1.17722,1.17565,0.08,24.64,-14.89,0.0,0.48,-15.370000000000001,0.96,2.33,0.0,0.0,0.0,3.77,0.0,0.0,-15.370000000000001,-0.6237824675324676,LONG_EXIT_BREAKOUT,True,43200.0,9950.803011892247,-15.517841141719142,9935.285170750529
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,18,SHORT,2025-07-28T11:00:00,2025-07-30T04:00:00,1.16742,1.15679,0.07,24.15,75.05,0.0,0.42000000000000004,74.63,0.8400000000000001,0.64,0.0,0.0,0.0,1.9000000000000004,0.0,0.0,74.63,3.0902691511387164,SHORT_EXIT_BREAKOUT,True,147600.0,9935.285170750529,76.75676317734079,10012.041933927869
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,20,SHORT,2025-07-30T16:00:00,2025-07-31T10:00:00,1.14722,1.14589,0.06,22.86,8.790000000000001,0.0,0.36,8.430000000000001,0.72,0.81,0.0,0.0,0.0,1.8900000000000001,0.0,0.0,8.430000000000001,0.36876640419947515,SHORT_EXIT_BREAKOUT,True,64800.0,10012.041933927869,9.230261756672348,10021.272195684542
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,22,SHORT,2025-08-01T13:00:00,2025-08-01T15:30:11,1.14006,1.14367,0.07,22.82,-25.27,0.0,0.42000000000000004,-25.69,0.8400000000000001,0.0,0.0,0.0,0.0,1.2600000000000002,0.0,0.0,-25.69,-1.1257668711656441,STOP_LOSS_EXIT,True,9011.0,10021.272195684542,-28.204040612087628,9993.068155072455
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,24,SHORT,2025-08-05T08:00:00,2025-08-05T17:00:00,1.15475,1.15658,0.08,24.4,-14.64,0.0,0.48,-15.120000000000001,0.96,0.0,0.0,0.0,0.0,1.44,0.0,0.0,-15.120000000000001,-0.619672131147541,SHORT_EXIT_BREAKOUT,True,32400.0,9993.068155072455,-15.481064600890937,9977.587090471563
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,2,SHORT,2025-07-07T12:00:00,2025-07-08T03:43:57,1.17236,1.17482,0.1,24.4,-24.150000000000002,0.0,0.6000000000000001,-24.750000000000004,1.2000000000000002,0.45,0.0,0.0,0.0,2.2500000000000004,0.5,1.1250000000000002,-25.875000000000004,-1.0604508196721314,STOP_LOSS_EXIT,True,56637.0,10000.0,-26.511270491803284,9973.488729508197
