run_number,run_id,segment,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_money,expectancy_R,normalized_expectancy_R,expected_payoff,total_trades,naturally_closed_trades,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,long_net_profit,short_net_profit,stop_loss_exits,donchian_exits,average_holding_seconds,median_holding_seconds,risk_engine_blocks,spread_blocks,loss_limit_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,censored_positions
21,021-d1-stress-delay200,D1,DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9895.972692333948,-104.02730766605346,14.707066444208534,-118.734374110262,0.12386527957397495,-17.33788461100891,-0.6960650580621961,-0.6960650580621961,-17.33788461100891,6,6,1,5,0,16.666666666666664,14.707066444208534,-23.746874822052398,0.6193263978698748,14.707066444208534,-27.185792349727222,104.02730766605237,1.0402730766605237,-2.220208465960005,-1.0000000000000104,1,3,-65.26244870321044,-38.76485896284302,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
22,022-d2-normal-delay200,D2,DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9981.498199625386,-18.501800374615005,32.5928171777545,-51.094617552369506,0.6378914010726949,-4.625450093653751,-0.18407258251008252,-0.18407258251008252,-4.625450093653751,5,4,2,2,0,50.0,16.29640858887725,-25.547308776184753,0.6378914010726949,30.166022728996737,-25.65217391304348,48.66782310361123,0.48667823103611224,-0.396823046544581,-0.3801649466676504,1,1,-23.01564919056826,4.513848815953256,2,2,115213.5,40947.5,0,0,0,,,,,,,1
23,023-d2-high-delay200,D2,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9977.354673375135,-22.645326624863827,30.1182945275633,-52.76362115242713,0.5708155329323499,-5.661331656215957,-0.22558840490226365,-0.22558840490226365,-5.661331656215957,5,4,2,2,0,50.0,15.05914726378165,-26.381810576213564,0.5708155329323499,28.92727180580476,-26.576086956521745,51.57259843067004,0.5157259843067005,-0.4855770775970436,-0.43909609587165443,1,1,-24.996511474146843,2.3511848492830154,2,2,115213.5,40947.5,0,0,0,,,,,,,1
24,024-d2-stress-delay200,D2,DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9973.212420246582,-26.787579753416267,27.689240670410932,-54.4768204238272,0.5082756382437501,-6.696894938354067,-0.2671042272944448,-0.2671042272944448,-6.696894938354067,5,4,1,3,0,25.0,27.689240670410932,-18.158940141275732,1.5248269147312505,27.689240670410932,-27.500000000000004,54.47682042382803,0.5447682042382803,-0.5742615886568658,-0.49172436175624235,1,3,-26.976820423827196,0.1892406704109284,2,2,115213.5,40947.5,0,0,0,,,,,,,1
25,025-d3-normal-delay200,D3,DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9914.15936512918,-85.84063487082233,525.4079634968731,-611.2485983676954,0.8595651014987112,-2.201041919764675,-0.08501951503130255,-0.08501951503130255,-2.201041919764675,39,39,11,28,0,28.205128205128204,47.76436031789755,-21.83030708456055,2.1879838947239922,172.22862347409404,-36.010347897613315,224.61220096871875,2.215378850429757,-1.833979028075805,-0.38217262686801756,2,6,236.4264996463882,-322.26713451721054,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
26,026-d3-high-delay200,D3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9874.999532507081,-125.0004674929213,508.4744027872643,-633.4748702801855,0.8026749388848944,-3.2051401921261875,-0.12565288409857572,-0.12565288409857572,-3.2051401921261875,39,39,10,29,0,25.64102564102564,50.84744027872643,-21.84396104414433,2.3277573227661934,169.40936363404535,-37.470550920182035,251.88919907418858,2.4873305686539045,-2.6646045975309063,-0.4962517962356341,2,6,212.6656980516716,-337.6661655445929,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
27,027-d3-stress-delay200,D3,DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9835.989341514842,-164.01065848515535,493.13602771733247,-657.1466862024878,0.7504200174348616,-4.205401499619368,-0.1662862531658489,-0.1662862531658489,-4.205401499619368,39,39,10,29,0,25.64102564102564,49.31360277173325,-22.660230558706477,2.176218050561099,166.5932719091455,-38.920593307953354,279.0288500883944,2.7585600421363963,-3.4883079624063784,-0.5877910417980001,2,6,189.01666165952417,-353.0273201446795,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
28,028-v1-normal-delay200,V1,VALIDATION,NORMAL,FIXED_DELAY_200_MS,10000.0,9977.587090471563,-22.4129095284397,138.44570008720711,-160.8586096156468,0.8606670194278518,-1.8677424607033084,-0.07295318498735918,-0.07295318498735918,-1.8677424607033084,13,12,5,7,0,41.66666666666667,27.68914001744142,-22.97980137366383,1.2049338271989924,76.75676317734079,-28.204040612087628,76.29014902760173,0.7629014902760173,-0.9477930414042102,-0.29378510612596553,2,3,-13.873679667469695,-8.539229860970007,5,7,81172.0,48600.0,0,0,0,,,,,,,1
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,10000.0,9964.664697379045,-35.33530262095434,132.1289183710298,-167.46422099198412,0.7889978981083626,-2.9446085517461946,-0.1161541728342721,-0.1161541728342721,-2.9446085517461946,13,12,5,7,0,41.66666666666667,26.42578367420596,-23.92346014171202,1.1045970573517074,75.70758062750907,-28.8623988142523,82.1600600229267,0.821600600229267,-1.4911228500756435,-0.4300788316256591,2,3,-18.180798336297844,-17.15450428465649,5,7,81172.0,48600.0,0,0,0,,,,,,,1
30,030-v1-stress-delay200,V1,VALIDATION,STRESS,FIXED_DELAY_200_MS,10000.0,9951.757450427962,-48.24254957203595,125.81981245000479,-174.06236202204073,0.7228433016097575,-4.020212464336329,-0.159355160681185,-0.159355160681185,-4.020212464336329,13,12,5,7,0,41.66666666666667,25.163962490000955,-24.86605171743439,1.0119806222536603,74.66031566748197,-29.519198019548647,88.02713483258776,0.8802713483258777,-2.0315387788980788,-0.5480418016988154,2,3,-22.482871780065352,-25.759677791970596,5,7,81172.0,48600.0,0,0,0,,,,,,,1
31,031-v2-normal-delay200,V2,VALIDATION,NORMAL,FIXED_DELAY_200_MS,10000.0,9792.098276088918,-207.90172391108268,35.797885186909426,-243.69960909799212,0.14689348628587673,-12.993857744442668,-0.5244365178290898,-0.5244365178290898,-12.993857744442668,16,16,4,12,0,25.0,8.949471296727356,-20.30830075816601,0.4406804588576302,14.570603959800952,-26.443773282725573,231.53868571952262,2.315386857195226,-8.53076585418826,-0.8979135528260151,3,11,-121.68646036420505,-86.21526354687765,8,8,84422.75,52200.0,5,0,0,,,,,,,0
32,032-v2-high-delay200,V2,VALIDATION,HIGH,FIXED_DELAY_200_MS,10000.0,9774.720470984345,-225.2795290156597,30.408943913651008,-255.6884729293107,0.11892966298116248,-14.079970563478732,-0.5687940077458193,-0.5687940077458193,-14.079970563478732,16,16,3,13,0,18.75,10.136314637883668,-19.66834407148544,0.5153618729183707,13.56921604612186,-27.59033785150033,244.43120303051728,2.4443120303051726,-9.21773665199872,-0.9216479983839605,1,11,-133.14627196277453,-92.13325705288517,8,8,84422.75,52200.0,5,0,0,,,,,,,0
33,033-v2-stress-delay200,V2,VALIDATION,STRESS,FIXED_DELAY_200_MS,10000.0,9757.371426349982,-242.62857365001753,26.298695538356398,-268.92726918837394,0.09779110767653354,-15.164285853126096,-0.613151497662549,-0.613151497662549,-15.164285853126096,16,16,3,13,0,18.75,8.7662318461188,-20.6867130144903,0.42376146659831204,12.571139160520213,-28.735297499765917,257.30806346190184,2.5730806346190183,-9.899629520780529,-0.942949748195288,1,11,-144.5888893799432,-98.03968427007433,8,8,84422.75,52200.0,5,0,0,,,,,,,0
34,034-o1-normal-delay200,O1,OUT_OF_SAMPLE,NORMAL,FIXED_DELAY_200_MS,10000.0,9887.645117877611,-112.35488212238971,145.07840044184738,-257.4332825642371,0.563557279761004,-6.609110713081748,-0.26455405387677516,-0.26455405387677516,-6.609110713081748,17,17,6,11,0,35.294117647058826,24.179733406974563,-23.40302568765792,1.0331883462285074,43.830509024475276,-26.777605443742907,130.85017188372512,1.3085017188372512,-4.682371255230544,-0.8586529196326121,2,3,-61.741684416533495,-50.61319770585622,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
35,035-o1-high-delay200,O1,OUT_OF_SAMPLE,HIGH,FIXED_DELAY_200_MS,10000.0,9867.241540155836,-132.7584598441619,134.69721628510703,-267.4556761292689,0.50362444437337,-7.809321167303641,-0.31316725855172634,-0.31316725855172634,-7.809321167303641,17,17,6,11,0,35.294117647058826,22.44953604751784,-24.314152375388083,0.9233114813511781,41.00297707588251,-28.078271735815235,147.6488665912584,1.476488665912584,-5.514378704984868,-0.8991498743548222,2,3,-70.536494234578,-62.22196560958389,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
36,036-o1-stress-delay200,O1,OUT_OF_SAMPLE,STRESS,FIXED_DELAY_200_MS,10000.0,9846.877123501437,-153.12287649856157,124.84354253605969,-277.96641903462125,0.44913174393382455,-9.007228029327152,-0.36178046322667745,-0.36178046322667745,-9.007228029327152,17,17,5,12,0,29.411764705882355,24.968708507211936,-23.163868252885106,1.0779161854411787,38.184935673838716,-29.375806203997655,164.42107601179669,1.644210760117967,-6.339242528273925,-0.9312849679172243,1,3,-79.30817559659242,-73.81470090196915,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
