timestamp,direction,clean_segment,partition,setup_close,frozen_donchian_boundary,confirmation_timestamp,volatility_regime,distance_from_ema_bucket,all_conditions_passed,all_conditions_failed,first_failing_condition,multiple_conditions_failed,confirmed,pass_immediate_next_completed_h1,pass_continued_direction_beyond_setup_close,pass_beyond_frozen_donchian_boundary,pass_correct_side_ema200,pass_ema_distance_at_most_2_atr,pass_atr_regime_0_50_to_2_00,pass_strict_equality_rejection,pass_minimum_300_clean_segment_h1,pass_no_position_already_open,pass_risk_or_spread_entry_state,pass_other_frozen_no_trade_conditions,would_confirm_without_immediate_next_completed_h1,would_confirm_without_continued_direction_beyond_setup_close,would_confirm_without_beyond_frozen_donchian_boundary,would_confirm_without_correct_side_ema200,would_confirm_without_ema_distance_at_most_2_atr,would_confirm_without_atr_regime_0_50_to_2_00,would_confirm_without_strict_equality_rejection,would_confirm_without_minimum_300_clean_segment_h1,would_confirm_without_no_position_already_open,would_confirm_without_risk_or_spread_entry_state,would_confirm_without_other_frozen_no_trade_conditions
2025-06-20 03:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1522100000,1.1511900000,2025-06-20 04:00:00,WITHIN_0_50_TO_2_00,OVER_1_TO_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|ema_distance_at_most_2_atr|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close,continued_direction_beyond_setup_close,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
2025-06-20 06:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1528900000,1.1523300000,2025-06-20 07:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-20 19:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1535500000,1.1534400000,2025-06-20 20:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-23 00:00:00,SELL,SEGMENT_3,DEVELOPMENT_2025,1.1473600000,1.1494600000,2025-06-23 01:00:00,WITHIN_0_50_TO_2_00,AT_MOST_1_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|ema_distance_at_most_2_atr|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close,continued_direction_beyond_setup_close,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
2025-06-23 20:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1568700000,1.1556400000,2025-06-23 21:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,ema_distance_at_most_2_atr,ema_distance_at_most_2_atr,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
2025-06-23 21:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1573600000,1.1572900000,2025-06-23 22:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,ema_distance_at_most_2_atr,ema_distance_at_most_2_atr,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
2025-06-23 22:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1577800000,1.1577300000,2025-06-23 23:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|ema_distance_at_most_2_atr|risk_or_spread_entry_state,continued_direction_beyond_setup_close,True,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-24 01:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1591900000,1.1581100000,2025-06-24 02:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,ema_distance_at_most_2_atr,ema_distance_at_most_2_atr,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
2025-06-25 20:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1641900000,1.1635300000,2025-06-25 21:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,ema_distance_at_most_2_atr,ema_distance_at_most_2_atr,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
2025-06-25 21:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1660300000,1.1643800000,2025-06-25 22:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-26 02:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1682900000,1.1664600000,2025-06-26 03:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-26 05:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1689900000,1.1688400000,2025-06-26 06:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,ema_distance_at_most_2_atr,ema_distance_at_most_2_atr,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
2025-06-26 11:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1727000000,1.1716700000,2025-06-26 12:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-27 15:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1746400000,1.1739700000,2025-06-27 16:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|beyond_frozen_donchian_boundary|ema_distance_at_most_2_atr|risk_or_spread_entry_state,continued_direction_beyond_setup_close,True,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-06-30 18:00:00,BUY,SEGMENT_3,DEVELOPMENT_2025,1.1769100000,1.1750200000,2025-06-30 19:00:00,WITHIN_0_50_TO_2_00,OVER_2_ATR,immediate_next_completed_h1|beyond_frozen_donchian_boundary|correct_side_ema200|atr_regime_0_50_to_2_00|strict_equality_rejection|minimum_300_clean_segment_h1|no_position_already_open|risk_or_spread_entry_state|other_frozen_no_trade_conditions,continued_direction_beyond_setup_close|ema_distance_at_most_2_atr,continued_direction_beyond_setup_close,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
