schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,GBP,GBPUSD,1,2,-0.005388656877,LONG,BUY,2026.03.23 09:00:00,1.3289400000,2026.03.02 09:00:00,1.3361400000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,AUD,AUDUSD,1,3,-0.014438949740,NONE,NONE,2026.03.23 09:00:00,0.6955400000,2026.03.02 09:00:00,0.7057300000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,NZD,NZDUSD,1,7,-0.024970553592,SHORT,SELL,2026.03.23 09:00:00,0.5794600000,2026.03.02 09:00:00,0.5943000000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,CAD,USDCAD,-1,1,-0.005381982376,LONG,SELL,2026.03.23 09:00:00,1.3731000000,2026.03.02 09:00:00,1.3657100000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,CHF,USDCHF,-1,6,-0.021689584441,SHORT,BUY,2026.03.23 09:00:00,0.7897800000,2026.03.02 09:00:00,0.7726500000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.23 10:05:00,JPY,USDJPY,-1,4,-0.015620884703,NONE,NONE,2026.03.23 09:00:00,159.4660000000,2026.03.02 09:00:00,156.9750000000,2026.03.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,EUR,EURUSD,1,1,-0.002720145536,LONG,BUY,2026.03.30 09:00:00,1.1512100000,2026.03.09 09:00:00,1.1543500000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,GBP,GBPUSD,1,2,-0.003440711581,LONG,BUY,2026.03.30 09:00:00,1.3265400000,2026.03.09 09:00:00,1.3311200000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,AUD,AUDUSD,1,4,-0.019436068198,NONE,NONE,2026.03.30 09:00:00,0.6861300000,2026.03.09 09:00:00,0.6997300000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,NZD,NZDUSD,1,6,-0.023894964200,SHORT,SELL,2026.03.30 09:00:00,0.5739400000,2026.03.09 09:00:00,0.5879900000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,CAD,USDCAD,-1,7,-0.024080686498,SHORT,BUY,2026.03.30 09:00:00,1.3890800000,2026.03.09 09:00:00,1.3556300000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,CHF,USDCHF,-1,5,-0.023190002755,NONE,NONE,2026.03.30 09:00:00,0.7986200000,2026.03.09 09:00:00,0.7801000000,2026.04.06 10:05:00
