schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:25:00,150.9830000000,151.0380000000,150.9830000000,151.0330000000,211,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:26:00,151.0330000000,151.0480000000,151.0260000000,151.0400000000,120,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:27:00,151.0410000000,151.0510000000,151.0050000000,151.0180000000,135,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:28:00,151.0180000000,151.0360000000,151.0180000000,151.0250000000,107,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:29:00,151.0260000000,151.0420000000,151.0250000000,151.0340000000,93,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:30:00,151.0340000000,151.0910000000,151.0340000000,151.0900000000,198,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:31:00,151.0910000000,151.1020000000,151.0750000000,151.0970000000,129,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:32:00,151.0970000000,151.1210000000,151.0970000000,151.1190000000,152,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:33:00,151.1190000000,151.1220000000,151.0570000000,151.0580000000,208,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:34:00,151.0570000000,151.0690000000,151.0470000000,151.0600000000,127,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:35:00,151.0610000000,151.0630000000,151.0470000000,151.0500000000,133,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:36:00,151.0510000000,151.0530000000,151.0020000000,151.0030000000,121,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:37:00,151.0030000000,151.0280000000,151.0020000000,151.0260000000,73,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:38:00,151.0260000000,151.0270000000,151.0120000000,151.0180000000,94,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:39:00,151.0180000000,151.0370000000,151.0110000000,151.0160000000,106,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 14:40:00,151.0150000000,151.0260000000,150.9890000000,150.9920000000,146,11,0
