schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:45:00,1.0525200000,1.0527300000,1.0523500000,1.0523800000,224,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:46:00,1.0523800000,1.0530500000,1.0523600000,1.0530300000,196,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:47:00,1.0530200000,1.0531200000,1.0523500000,1.0523500000,285,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:48:00,1.0523200000,1.0525700000,1.0518100000,1.0522100000,429,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:49:00,1.0522000000,1.0522900000,1.0520000000,1.0522500000,312,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:50:00,1.0522500000,1.0525000000,1.0521900000,1.0522600000,303,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:51:00,1.0522600000,1.0523900000,1.0521400000,1.0523000000,264,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:52:00,1.0523000000,1.0532600000,1.0522500000,1.0531400000,265,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:53:00,1.0531400000,1.0536000000,1.0528400000,1.0535900000,282,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:54:00,1.0535900000,1.0536800000,1.0530900000,1.0531000000,276,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:55:00,1.0530900000,1.0532400000,1.0528300000,1.0528800000,257,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:56:00,1.0528800000,1.0529800000,1.0527000000,1.0527300000,214,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.04 17:57:00,1.0527300000,1.0533200000,1.0526600000,1.0530100000,258,11,0
