schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:37:00,1.2753400000,1.2753800000,1.2752000000,1.2753000000,83,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:38:00,1.2753000000,1.2754200000,1.2753000000,1.2753800000,42,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:39:00,1.2753800000,1.2754000000,1.2751900000,1.2752300000,63,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:40:00,1.2752400000,1.2755100000,1.2752300000,1.2754800000,124,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:41:00,1.2754800000,1.2754800000,1.2749100000,1.2749600000,112,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:42:00,1.2749700000,1.2751100000,1.2748600000,1.2748700000,77,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:43:00,1.2748700000,1.2748900000,1.2747500000,1.2747700000,70,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:44:00,1.2747400000,1.2748700000,1.2746700000,1.2747700000,80,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:45:00,1.2747800000,1.2749100000,1.2747600000,1.2749000000,78,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:46:00,1.2749100000,1.2751100000,1.2749100000,1.2749600000,73,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:47:00,1.2749700000,1.2751200000,1.2749000000,1.2749600000,88,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:48:00,1.2749600000,1.2749900000,1.2748900000,1.2749700000,67,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:49:00,1.2749700000,1.2752500000,1.2749000000,1.2751900000,104,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:50:00,1.2752000000,1.2752300000,1.2749600000,1.2750200000,93,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:51:00,1.2750300000,1.2750700000,1.2749000000,1.2750000000,72,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:52:00,1.2749900000,1.2753000000,1.2749900000,1.2753000000,96,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:53:00,1.2753100000,1.2753200000,1.2750800000,1.2751000000,73,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:54:00,1.2751200000,1.2751600000,1.2748700000,1.2750000000,73,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:55:00,1.2749900000,1.2751500000,1.2749600000,1.2750200000,75,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:56:00,1.2750100000,1.2752200000,1.2749900000,1.2751700000,55,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:57:00,1.2751800000,1.2752200000,1.2751400000,1.2751700000,43,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:58:00,1.2751800000,1.2753200000,1.2751500000,1.2753100000,97,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 18:59:00,1.2753300000,1.2754200000,1.2752900000,1.2752900000,136,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:00:00,1.2752900000,1.2756200000,1.2752900000,1.2755800000,126,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:01:00,1.2755800000,1.2757200000,1.2755300000,1.2756800000,83,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:02:00,1.2756900000,1.2758700000,1.2756700000,1.2758000000,71,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:03:00,1.2757900000,1.2757900000,1.2755900000,1.2756100000,70,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:04:00,1.2756200000,1.2758300000,1.2755600000,1.2757700000,95,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:05:00,1.2757700000,1.2757800000,1.2756600000,1.2757100000,76,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:06:00,1.2757000000,1.2757700000,1.2754500000,1.2755500000,83,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:07:00,1.2755600000,1.2756400000,1.2754000000,1.2754200000,103,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:08:00,1.2754300000,1.2756700000,1.2754000000,1.2756700000,104,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:09:00,1.2756700000,1.2757200000,1.2756300000,1.2756300000,76,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:10:00,1.2756100000,1.2756700000,1.2755300000,1.2756200000,107,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:11:00,1.2756200000,1.2756600000,1.2755400000,1.2755400000,84,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:12:00,1.2755500000,1.2755600000,1.2751300000,1.2751600000,84,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:13:00,1.2751500000,1.2751900000,1.2747900000,1.2748100000,77,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:14:00,1.2748000000,1.2748500000,1.2746300000,1.2746400000,127,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:15:00,1.2746500000,1.2748400000,1.2745400000,1.2747600000,86,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:16:00,1.2747700000,1.2748500000,1.2747400000,1.2747700000,66,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:17:00,1.2747700000,1.2751100000,1.2747700000,1.2748200000,109,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:18:00,1.2747900000,1.2748400000,1.2747500000,1.2747900000,36,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:19:00,1.2747900000,1.2748300000,1.2746400000,1.2746400000,84,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:20:00,1.2746500000,1.2747500000,1.2745200000,1.2745500000,75,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:21:00,1.2745600000,1.2746600000,1.2745300000,1.2746000000,50,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:22:00,1.2746000000,1.2746100000,1.2743200000,1.2743500000,52,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:23:00,1.2743600000,1.2744200000,1.2741400000,1.2741500000,80,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.05 19:24:00,1.2741500000,1.2743300000,1.2741500000,1.2742300000,89,11,0
