schema,server_hour,opening_time_msc,closing_time_msc,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_time_msc,profit_at_minimum,opening_positions,closing_positions,maximum_positions
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 17:00:00,1773162000283,1773165599577,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773162000283,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 18:00:00,1773165600387,1773169199663,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773165600387,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 19:00:00,1773169200067,1773172796424,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773169200067,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 20:00:00,1773172800371,1773176398379,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773172800371,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 21:00:00,1773176400202,1773179999212,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773176400202,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 22:00:00,1773180000127,1773183599186,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773180000127,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.10 23:00:00,1773183600402,1773187199879,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773183600402,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 00:00:00,1773187200355,1773190798634,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773187200355,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 01:00:00,1773190800153,1773194396879,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773190800153,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 02:00:00,1773194402672,1773197995247,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773194402672,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 03:00:00,1773198000205,1773201595615,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773198000205,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 04:00:00,1773201600067,1773205199052,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773201600067,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 05:00:00,1773205200371,1773208799659,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773205200371,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 06:00:00,1773208800267,1773212399470,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773208800267,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 07:00:00,1773212400279,1773215997249,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773212400279,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 08:00:00,1773216000383,1773219597691,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773216000383,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 09:00:00,1773219600222,1773223199709,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773219600222,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 10:00:00,1773223200112,1773226799818,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773223200112,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 11:00:00,1773226800222,1773230399619,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773226800222,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 12:00:00,1773230400024,1773233998104,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773230400024,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 13:00:00,1773234000329,1773237599856,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773234000329,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 14:00:00,1773237600261,1773241198785,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773237600261,0.00000000,0,0,0
